year,beef-produce,veal-produce,milk-produce
1970,21684,588,117007
1971,21904,547,118566
1972,22413,458,120025
1973,21278,357,115491
1974,23137,486,115586
1975,23975,873,115398
1976,25969,852,120180
1977,25279,833,122654
1978,24241,631,121461
1979,21447,435,123350
1980,21643,400,128406
1981,22389,435,132770
1982,22536,448,135505
1983,23243,453,139588
1984,23598,495,135351
1985,23728,515,143012
1986,24371,524,143124
1987,23566,430,142709
1988,23589,396,145034
1989,23087,355,143893
1990,22743,327,147721
1991,22917,306,147697
1992,23086,310,150885
1993,23050,285,150636
1994,24386,293,153602
1995,25222,319,155292
1996,25525,378,154006
1997,25490,334,156091
1998,25760,262,157262
1999,26493,235,162589
2000,26888,225,167393
2001,26212,205,165332
2002,27192,205,170063
2003,26339,202,170348
2004,24650,176,170832
2005,24787,165,176931
2006,26256,156,181782
2007,26523,146,185654
2008,26657,152,189978
2009,26056,147,189202
2010,26389,143,192877
2011,26270,136,196255
2012,25989,125,200642
2013,25790,117,201260
2014,24316,100,206048
2015,23760,88,208508
2016,25288,81,212451
2017,26250,80,215527
2018,26938,81,217568
2019,27224,79,218441
2020,27244,69,223309
2021,28016,58,226258
