year,beef-produce,veal-produce,milk-y-0,milk-y-1,milk-y-2,milk-y-3,milk-y-4,milk-y-5,milk-y-6,milk-y-7,milk-y-8
1978,24241,631,121461,122654,120180,115398,115586,115491,120025,118566,117007
1979,21447,435,123350,121461,122654,120180,115398,115586,115491,120025,118566
1980,21643,400,128406,123350,121461,122654,120180,115398,115586,115491,120025
1981,22389,435,132770,128406,123350,121461,122654,120180,115398,115586,115491
1982,22536,448,135505,132770,128406,123350,121461,122654,120180,115398,115586
1983,23243,453,139588,135505,132770,128406,123350,121461,122654,120180,115398
1984,23598,495,135351,139588,135505,132770,128406,123350,121461,122654,120180
1985,23728,515,143012,135351,139588,135505,132770,128406,123350,121461,122654
1986,24371,524,143124,143012,135351,139588,135505,132770,128406,123350,121461
1987,23566,430,142709,143124,143012,135351,139588,135505,132770,128406,123350
1988,23589,396,145034,142709,143124,143012,135351,139588,135505,132770,128406
1989,23087,355,143893,145034,142709,143124,143012,135351,139588,135505,132770
1990,22743,327,147721,143893,145034,142709,143124,143012,135351,139588,135505
1991,22917,306,147697,147721,143893,145034,142709,143124,143012,135351,139588
1992,23086,310,150885,147697,147721,143893,145034,142709,143124,143012,135351
1993,23050,285,150636,150885,147697,147721,143893,145034,142709,143124,143012
1994,24386,293,153602,150636,150885,147697,147721,143893,145034,142709,143124
1995,25222,319,155292,153602,150636,150885,147697,147721,143893,145034,142709
1996,25525,378,154006,155292,153602,150636,150885,147697,147721,143893,145034
1997,25490,334,156091,154006,155292,153602,150636,150885,147697,147721,143893
1998,25760,262,157262,156091,154006,155292,153602,150636,150885,147697,147721
1999,26493,235,162589,157262,156091,154006,155292,153602,150636,150885,147697
2000,26888,225,167393,162589,157262,156091,154006,155292,153602,150636,150885
2001,26212,205,165332,167393,162589,157262,156091,154006,155292,153602,150636
2002,27192,205,170063,165332,167393,162589,157262,156091,154006,155292,153602
2003,26339,202,170348,170063,165332,167393,162589,157262,156091,154006,155292
2004,24650,176,170832,170348,170063,165332,167393,162589,157262,156091,154006
2005,24787,165,176931,170832,170348,170063,165332,167393,162589,157262,156091
2006,26256,156,181782,176931,170832,170348,170063,165332,167393,162589,157262
2007,26523,146,185654,181782,176931,170832,170348,170063,165332,167393,162589
2008,26657,152,189978,185654,181782,176931,170832,170348,170063,165332,167393
2009,26056,147,189202,189978,185654,181782,176931,170832,170348,170063,165332
2010,26389,143,192877,189202,189978,185654,181782,176931,170832,170348,170063
2011,26270,136,196255,192877,189202,189978,185654,181782,176931,170832,170348
2012,25989,125,200642,196255,192877,189202,189978,185654,181782,176931,170832
2013,25790,117,201260,200642,196255,192877,189202,189978,185654,181782,176931
2014,24316,100,206048,201260,200642,196255,192877,189202,189978,185654,181782
2015,23760,88,208508,206048,201260,200642,196255,192877,189202,189978,185654
2016,25288,81,212451,208508,206048,201260,200642,196255,192877,189202,189978
2017,26250,80,215527,212451,208508,206048,201260,200642,196255,192877,189202
2018,26938,81,217568,215527,212451,208508,206048,201260,200642,196255,192877
2019,27224,79,218441,217568,215527,212451,208508,206048,201260,200642,196255
2020,27244,69,223309,218441,217568,215527,212451,208508,206048,201260,200642
2021,28016,58,226258,223309,218441,217568,215527,212451,208508,206048,201260
